HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,GS
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2UMDD8XMB3Q3DGCRG7KO9T4EVLYQFP,A1AI8ENPXJCYXP,Approved,Sat Feb 09 13:45:07 PST 2013,Sat Feb 09 13:45:36 PST 2013,,No,Neutral,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2RN8ER9Y8TNKM3B8WIBFKS2OMTUT63,A8K6YL7N8RHYX,Approved,Sat Feb 09 17:52:44 PST 2013,Sat Feb 09 17:53:21 PST 2013,,Yes,High,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2IEQU6L5OBVCMI3D7H1IMF7GUUFYF0,A1ZBGI2ONCITZG,Approved,Sat Feb 09 18:45:27 PST 2013,Sat Feb 09 18:46:13 PST 2013,810188972,No,Neutral,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2G2UC26DG67D5EFBASB0FOK2J776DY,A1OC6N0BYX1HF3,Approved,Sun Feb 10 09:13:41 PST 2013,Sun Feb 10 09:14:07 PST 2013,,No,High,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,26WZMAZHHRRLJ7C4X0MRK1KHO28CL0,ACJXA9Z0CW3IH,Approved,Tue Feb 12 12:41:40 PST 2013,Tue Feb 12 12:41:57 PST 2013,,Yes,VHigh,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2IPMB3Q39Z0BAB54G6VEYSTVRDAJUF,A3RNMSYRWACU2I,Approved,Tue Feb 12 14:45:49 PST 2013,Tue Feb 12 14:46:03 PST 2013,,Yes,VHigh,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2IS6UFBNFSVGY2RJJIJW9NG1FLXI4F,A20RC8BRVTGDJE,Approved,Tue Feb 12 17:16:00 PST 2013,Tue Feb 12 17:16:50 PST 2013,,No,VLow,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2GUNJQ2172Z9D7TMLXCCYEBU1XMYQU,A1SGC9I11RM0UV,Approved,Wed Feb 13 10:58:17 PST 2013,Wed Feb 13 10:59:12 PST 2013,8102029650,Yes,High,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2BUA1QP6AUC2AUSMHQSX6V0FKUG07Y,A3G8M9TR33ZJW2,Approved,Wed Feb 13 17:15:53 PST 2013,Wed Feb 13 17:15:58 PST 2013,,Yes,High,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,24VK4F0OHOVR5LUDU1TLC2HECQE32G,A1KWFAKVXAOAVW,Approved,Wed Feb 13 18:26:37 PST 2013,Wed Feb 13 18:27:02 PST 2013,,Yes,Neutral,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2R7L42J1LY58FOENWD9GIKHD10DP4L,A31DCF7XNH4IHZ,Approved,Thu Feb 14 07:09:58 PST 2013,Thu Feb 14 07:10:29 PST 2013,,Yes,VHigh,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2UE05BMJTUHY0JS9ZMIAAS5WMVLLG6,A2ZO2P05URCGC4,Approved,Thu Feb 14 07:32:40 PST 2013,Thu Feb 14 07:32:47 PST 2013,,Yes,High,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2M7806UFBNFSZX61PG05VW6NGVV2GZ,A3DX5SKB7EDW6Z,Approved,Thu Feb 14 10:57:59 PST 2013,Thu Feb 14 10:58:33 PST 2013,8103127900,Yes,High,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2BNP9746OQ1SR72N0JY081QKCH72M7,A8WNS8Y12LPGO,Approved,Thu Feb 14 11:12:56 PST 2013,Thu Feb 14 11:13:03 PST 2013,,Yes,VHigh,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,224XKNQY2RCJONFF5RUHU0KUI462RV,A337A4YV6S5LZG,Approved,Thu Feb 14 11:22:03 PST 2013,Thu Feb 14 11:23:03 PST 2013,,No,High,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2SY2NJQ2172ZDQ2XGOBLFVEBUVIXP8,A2Q4PMPZD7GTMX,Approved,Thu Feb 14 11:29:00 PST 2013,Thu Feb 14 11:29:07 PST 2013,,Yes,VHigh,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,25EEC1PC6SK9V0KLYC9ZHHMAAJ20O0,A1PO1SNNAZHZGW,Approved,Thu Feb 14 11:35:11 PST 2013,Thu Feb 14 11:36:23 PST 2013,,Yes,Low,Yes
2EKQ45UUKQOYK4UCB0J8RG0175OVDP,ReviewResearcherProfiles,3,2C8TP9RA7S5WQIIP85FFA0JMHF4SXY,A2LKG96QY7M0QM,Approved,Fri Feb 15 18:05:59 PST 2013,Fri Feb 15 18:06:50 PST 2013,810280000,Yes,,Yes
