HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,GS
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2UE05BMJTUHY0JS9ZMIAAS5WMUBLGU,ASQWJZMNPREVJ,Approved,Sat Feb 09 15:21:43 PST 2013,Sat Feb 09 15:22:02 PST 2013,,No,High,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2LDYHVI44OS2O26ON05ZVBAP546Y4C,A8K6YL7N8RHYX,Approved,Sat Feb 09 17:37:56 PST 2013,Sat Feb 09 17:40:16 PST 2013,,No,High,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,20M8Y1THV8ERDFK9XX9M2SM5K8N0N9,A1OC6N0BYX1HF3,Approved,Sun Feb 10 09:11:17 PST 2013,Sun Feb 10 09:11:29 PST 2013,,No,VHigh,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2BQ7QEOZFYQS5T49W16XUDS4I5VJGF,ACJXA9Z0CW3IH,Approved,Tue Feb 12 12:44:55 PST 2013,Tue Feb 12 12:45:08 PST 2013,,Yes,VHigh,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2T9STLB3L0FBNQU4LW5JUEVE5KJJV4,A3RNMSYRWACU2I,Approved,Tue Feb 12 14:51:37 PST 2013,Tue Feb 12 14:51:46 PST 2013,,No,VHigh,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2K22SEIUUU00S7W0KH9IV8S2UV0RRB,A20RC8BRVTGDJE,Approved,Tue Feb 12 17:16:54 PST 2013,Tue Feb 12 17:17:08 PST 2013,,No,Neutral,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2LW9F9SSSHX1500326WH8F8J4ISUYV,A1SGC9I11RM0UV,Approved,Wed Feb 13 10:55:34 PST 2013,Wed Feb 13 10:56:00 PST 2013,8102029650,No,High,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2C8TP9RA7S5WQIIP85FFA0JMHFDXSC,A3G8M9TR33ZJW2,Approved,Wed Feb 13 16:59:16 PST 2013,Wed Feb 13 17:01:14 PST 2013,,No,High,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2NGBDDP8PJWKYUPO7Z23T39Z05A5GR,A1KWFAKVXAOAVW,Approved,Wed Feb 13 18:22:51 PST 2013,Wed Feb 13 18:23:17 PST 2013,,No,Neutral,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,22RVXX2Q45UUO70EQ09W4NS8OAFR9B,A31DCF7XNH4IHZ,Approved,Thu Feb 14 07:05:50 PST 2013,Thu Feb 14 07:07:03 PST 2013,,Yes,Low,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2OWEGDHDM25LCZL399XHHZ6OEY5ND0,A2ZO2P05URCGC4,Approved,Thu Feb 14 06:55:05 PST 2013,Thu Feb 14 07:24:04 PST 2013,,No,VHigh,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,25B8EBDPGFL6ZT1C9MINGWIOVV82HY,A3DX5SKB7EDW6Z,Approved,Thu Feb 14 10:58:40 PST 2013,Thu Feb 14 10:59:05 PST 2013,8103127900,No,High,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2I0MQU6L5OBVGZD77AVALJF7GOGXEN,A8WNS8Y12LPGO,Approved,Thu Feb 14 11:16:30 PST 2013,Thu Feb 14 11:16:38 PST 2013,,No,High,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,27UQ45UUKQOYK4UCB0J8RG01017VDP,A337A4YV6S5LZG,Approved,Thu Feb 14 11:15:43 PST 2013,Thu Feb 14 11:17:01 PST 2013,,No,High,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2YV3FDEY5COW42S79GZCUFLC6P32T8,A2Q4PMPZD7GTMX,Approved,Thu Feb 14 11:27:32 PST 2013,Thu Feb 14 11:27:43 PST 2013,8101277720,Yes,VHigh,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2DN0FK0COK2JIIYNZXB9ORW6OTPQJ4,A1PO1SNNAZHZGW,Approved,Thu Feb 14 11:36:26 PST 2013,Thu Feb 14 11:36:54 PST 2013,,Yes,VHigh,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2T0EBDPGFL6VG68FJ4EDZIOV1M1I3W,A2FZM3WJ4C3VZY,Approved,Fri Feb 15 12:57:40 PST 2013,Fri Feb 15 12:57:46 PST 2013,,No,High,Yes
29HVXX2Q45UUO70EQ09W4NS8VEWR9B,ReviewResearcherProfiles,2,2AXBMJTUHYW2KA1P1NYS8WM163SNIH,A2LKG96QY7M0QM,Approved,Fri Feb 15 18:06:51 PST 2013,Fri Feb 15 18:07:00 PST 2013,,No,,Yes
